Feature,Importance_Mean,Importance_Std
RIAGENDR,0.022932069865319378,0.00975693590919355
ALQ151,0.020273118588697663,0.0055969154119666535
SLD012,0.015827433204114803,0.004289348933890418
RIDAGEYR,0.011029944111711838,0.003934762418700022
SLD013,0.010306510787533732,0.0028584373186836447
HSQ590,0.009650331094572376,0.004625634890556085
DMDMARTZ,0.0073409018614576885,0.0037174745387579364
RIDRETH3,0.006242927172022414,0.004001769369243067
INDFMPIR,0.006169645574413291,0.004600309573285049
PAD680,0.005644672682267643,0.0035935848605309103
DMDBORN4,0.004600152539682845,0.006245145312063483
DMDEDUC2,0.004509372183047147,0.004443630506679367
ALQ130,0.003447205639629522,0.0027146673454787992
ALQ142,0.0023460268170034547,0.0013102752078934146
SMQ020,0.001910052171516008,0.002205371249755296
RIDRETH1,0.001153001871834225,0.0021611054005459683
ALQ111,0.0010434558870593609,0.0007651545227680576
INDFMMPC,-0.000111989549211991,0.0023608031034470173
ALQ121,-0.0002104802931575084,0.0018921502251463289
WTMEC_COMB,-0.000500673075476804,0.0012230800428573863
ALQ170,-0.0006298349155078653,0.0006906888473039424
RIDEXMON,-0.0009222901970130787,0.0005036209956965556
INDFMMPI,-0.0016307662288517987,0.0040563228974149785
