Model,Split,Threshold_Type,Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,Threshold
CatBoost,Test,Default 0.50,0.6558252427184466,0.18733509234828497,0.6042553191489362,0.28600201409869086,0.27231961459937265,0.6760664529291752,0.5
XGBoost,Test,Default 0.50,0.6742718446601942,0.18857142857142858,0.5617021276595745,0.2823529411764706,0.2715760723961863,0.6812777615855435,0.5
SVM,Test,Default 0.50,0.887378640776699,0.5555555555555556,0.06382978723404255,0.11450381679389313,0.2580457116662802,0.679470708248324,0.5
LogisticRegression,Test,Default 0.50,0.6441747572815534,0.18076923076923077,0.6,0.27783251231527095,0.24439181663982337,0.6780507140775284,0.5
RandomForest,Test,Default 0.50,0.7655339805825243,0.22807017543859648,0.4425531914893617,0.30101302460202606,0.23269588570826813,0.6736321772078111,0.5
CatBoost,Test,Tuned,0.7572815533980582,0.22567287784679088,0.46382978723404256,0.30362116991643456,0.27231961459937265,0.6760664529291752,0.5762576959935293
XGBoost,Test,Tuned,0.7723300970873787,0.23648648648648649,0.44680851063829785,0.30927835051546393,0.2715760723961863,0.6812777615855435,0.5808135867118835
SVM,Test,Tuned,0.7864077669902912,0.2576832151300236,0.46382978723404256,0.331306990881459,0.2580457116662802,0.679470708248324,0.17061585445411123
LogisticRegression,Test,Tuned,0.7820388349514563,0.24154589371980675,0.425531914893617,0.3081664098613251,0.24439181663982337,0.6780507140775284,0.6274614736658322
RandomForest,Test,Tuned,0.7932038834951456,0.22318840579710145,0.3276595744680851,0.2655172413793103,0.23269588570826813,0.6736321772078111,0.5338381474683881
SVM,Val,Default 0.50,0.879126213592233,0.20833333333333334,0.02127659574468085,0.03861003861003861,0.27494413523259337,0.7543783153599534,0.5
CatBoost,Val,Default 0.50,0.6810679611650485,0.2077562326869806,0.6382978723404256,0.31347962382445144,0.24974579570694028,0.7252789274264062,0.5
RandomForest,Val,Default 0.50,0.7820388349514563,0.25116279069767444,0.4595744680851064,0.324812030075188,0.2436852041033285,0.715315651413582,0.5
XGBoost,Val,Default 0.50,0.6985436893203884,0.21107784431137724,0.6,0.3122923588039867,0.23834278048218635,0.708726318857476,0.5
LogisticRegression,Val,Default 0.50,0.6621359223300971,0.19790301441677588,0.6425531914893617,0.3026052104208417,0.23419350092859226,0.7041375692218013,0.5
SVM,Val,Tuned,0.8072815533980583,0.30434782608695654,0.5361702127659574,0.3882896764252696,0.27494413523259337,0.7543783153599534,0.17061585445411123
CatBoost,Val,Tuned,0.7839805825242718,0.2602739726027397,0.4851063829787234,0.3387815750371471,0.24974579570694028,0.7252789274264062,0.5762576959935293
RandomForest,Val,Tuned,0.8160194174757281,0.2869822485207101,0.4127659574468085,0.33856893542757416,0.2436852041033285,0.715315651413582,0.5338381474683881
XGBoost,Val,Tuned,0.7912621359223301,0.256857855361596,0.43829787234042555,0.3238993710691824,0.23834278048218635,0.708726318857476,0.5808135867118835
LogisticRegression,Val,Tuned,0.7936893203883495,0.2564102564102564,0.425531914893617,0.32,0.23419350092859226,0.7041375692218013,0.6274614736658322
